sampleID	dnaSampleID	siteID	sequencerRunID	internalLabID	collectDate	processedDate	sampleTotalReadNumber	sampleFilteredReadNumber	ncbiProjectID	remarks
HARV_035-O-20170801	HARV_035-O-20170801-COMP-DNA1	HARV	HVKLYBGX5	BMI_Plate42WellG2	2017-08-01T12:04:00Z	2018-06-07T00:00:00Z	12528971	5884686	PRJNA406974	paired ends may be out of order
HARV_033-O-20170801	HARV_033-O-20170801-COMP-DNA1	HARV	HVKLYBGX5	BMI_Plate42WellF12	2017-08-01T13:14:00Z	2018-06-07T00:00:00Z	12773404	6256342	PRJNA406974	paired ends may be out of order
HARV_013-O-20170801	HARV_013-O-20170801-COMP-DNA1	HARV	HVKLYBGX5	BMI_Plate42WellF10	2017-08-01T13:37:00Z	2018-06-07T00:00:00Z	11261983	3592841	PRJNA406974	paired ends may be out of order
HARV_002-O-20170801	HARV_002-O-20170801-COMP-DNA2	HARV	HFWM5BGX7	BMI_Plate68WellD4	2017-08-01T16:01:00Z	2018-08-29T00:00:00Z	15104898	7770207	PRJNA406974	paired ends may be out of order
HARV_033-O-20180709	HARV_033-O-20180709-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0403	2018-07-09T17:54:00Z	2019-01-29T00:00:00Z	8577221	3182313	PRJNA406974	paired ends may be out of order
HARV_033-M-20180709	HARV_033-M-20180709-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0402	2018-07-09T18:10:00Z	2019-01-29T00:00:00Z	8163536	3131069	PRJNA406974	paired ends may be out of order
HARV_035-O-20180709	HARV_035-O-20180709-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0407	2018-07-09T19:47:00Z	2019-01-29T00:00:00Z	7763220	2880952	PRJNA406974	paired ends may be out of order
HARV_035-M-20180709	HARV_035-M-20180709-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0406	2018-07-09T20:05:00Z	2019-01-29T00:00:00Z	7821377	2952162	PRJNA406974	paired ends may be out of order
HARV_034-O-20180709	HARV_034-O-20180709-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0405	2018-07-10T14:01:00Z	2019-01-29T00:00:00Z	14353290	5337127	PRJNA406974	paired ends may be out of order
HARV_034-M-20180709	HARV_034-M-20180709-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0404	2018-07-10T14:20:00Z	2019-01-29T00:00:00Z	6110319	2339014	PRJNA406974	paired ends may be out of order
HARV_004-O-20180710	HARV_004-O-20180710-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0395	2018-07-10T15:58:00Z	2019-01-29T00:00:00Z	4548897	1620729	PRJNA406974	paired ends may be out of order
HARV_004-M-20180710	HARV_004-M-20180710-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0394	2018-07-10T16:27:00Z	2019-01-29T00:00:00Z	9091062	3377732	PRJNA406974	paired ends may be out of order
HARV_037-O-20180710	HARV_037-O-20180710-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0409	2018-07-10T17:35:00Z	2019-01-29T00:00:00Z	228871	38949	PRJNA406974	paired ends may be out of order
HARV_037-M-20180710	HARV_037-M-20180710-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0408	2018-07-10T17:53:00Z	2019-01-29T00:00:00Z	6156287	2247258	PRJNA406974	paired ends may be out of order
HARV_001-O-20180710	HARV_001-O-20180710-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0391	2018-07-10T19:59:00Z	2019-01-29T00:00:00Z	8259163	5417343	PRJNA406974	paired ends may be out of order
HARV_001-M-20180710	HARV_001-M-20180710-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0390	2018-07-10T20:13:00Z	2019-01-29T00:00:00Z	881189	105429	PRJNA406974	paired ends may be out of order
HARV_002-O-20180711	HARV_002-O-20180711-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0393	2018-07-11T14:37:00Z	2019-01-29T00:00:00Z	7432053	2756378	PRJNA406974	paired ends may be out of order
HARV_002-M-20180711	HARV_002-M-20180711-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0392	2018-07-11T14:57:00Z	2019-01-29T00:00:00Z	2055643	602901	PRJNA406974	paired ends may be out of order
HARV_005-O-20180711	HARV_005-O-20180711-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0397	2018-07-11T18:06:00Z	2019-01-29T00:00:00Z	10034766	3545766	PRJNA406974	paired ends may be out of order
HARV_005-M-20180711	HARV_005-M-20180711-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0396	2018-07-11T18:14:00Z	2019-01-29T00:00:00Z	7794364	2025577	PRJNA406974	paired ends may be out of order
HARV_013-O-20180712	HARV_013-O-20180712-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0399	2018-07-12T14:51:00Z	2019-01-29T00:00:00Z	8098663	5137075	PRJNA406974	paired ends may be out of order
HARV_013-M-20180712	HARV_013-M-20180712-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0398	2018-07-12T15:05:00Z	2019-01-29T00:00:00Z	8587337	3156437	PRJNA406974	paired ends may be out of order
HARV_021-O-20180712	HARV_021-O-20180712-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0401	2018-07-12T19:15:00Z	2019-01-29T00:00:00Z	6591582	2496938	PRJNA406974	paired ends may be out of order
HARV_021-M-20180712	HARV_021-M-20180712-COMP-DNA1	HARV	HWVCMBGX7	18S_05_0400	2018-07-12T19:25:00Z	2019-01-29T00:00:00Z	736858	319092	PRJNA406974	paired ends may be out of order
BLAN_033-M-20170714	BLAN_033-M-20170714-COMP-DNA1	BLAN	HFWM2BGX7	BMI_Plate28WellG2	2017-07-14T12:31:00Z	2018-09-26T00:00:00Z	15785807	6298125	PRJNA406974	paired ends may be out of order
SCBI_003-M-20180716	SCBI_003-M-20180716-COMP-DNA1	SCBI	HWVWMBGX7	BMI_Plate88WellB7	2018-07-16T14:41:00Z	2018-12-21T00:00:00Z	6898932	2653868	PRJNA406974	paired ends may be out of order
SCBI_008-M-20180716	SCBI_008-M-20180716-COMP-DNA1	SCBI	HWVWMBGX7	BMI_Plate88WellB11	2018-07-16T17:03:00Z	2018-12-21T00:00:00Z	6995245	2679578	PRJNA406974	paired ends may be out of order
SCBI_049-M-20180716	SCBI_049-M-20180716-COMP-DNA1	SCBI	HWWGYBGX7	BMI_Plate88WellD2	2018-07-16T18:48:00Z	2019-01-07T00:00:00Z	6181144	3263949	PRJNA406974	paired ends may be out of order
SCBI_047-M-20180717	SCBI_047-M-20180717-COMP-DNA1	SCBI	HWWGYBGX7	BMI_Plate88WellC2	2018-07-17T12:34:00Z	2019-01-07T00:00:00Z	5670889	3706124	PRJNA406974	paired ends may be out of order
SCBI_004-M-20180717	SCBI_004-M-20180717-COMP-DNA1	SCBI	HWVWMBGX7	BMI_Plate88WellB8	2018-07-17T13:55:00Z	2018-12-21T00:00:00Z	6699175	2591101	PRJNA406974	paired ends may be out of order
SCBI_067-M-20180717	SCBI_067-M-20180717-COMP-DNA1	SCBI	HWWGYBGX7	BMI_Plate88WellE2	2018-07-17T13:47:00Z	2019-01-07T00:00:00Z	5930573	2425296	PRJNA406974	paired ends may be out of order
SCBI_006-M-20180717	SCBI_006-M-20180717-COMP-DNA1	SCBI	HWVWMBGX7	BMI_Plate88WellB10	2018-07-17T16:30:00Z	2018-12-21T00:00:00Z	7325298	3720848	PRJNA406974	paired ends may be out of order
SCBI_012-M-20180718	SCBI_012-M-20180718-COMP-DNA1	SCBI	HWVWMBGX7	BMI_Plate88WellB12	2018-07-18T13:30:00Z	2018-12-21T00:00:00Z	6470867	2530754	PRJNA406974	paired ends may be out of order
